"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_CREE_CLM3A";1;"Light";;;
2;"C1,C14";"C_0603";2;"4.7uF";;;
3;"R6,R7,R8,R5";"R_0402";4;"1k";;;
4;"C4";"C_0603";1;"1uF";;;
5;"C11,C2,C3,C7,C13,C6";"C_0402";6;"0.1uF";;;
6;"MEC2,MEC1";"_M2";2;"MEC";;;
7;"C5";"C_0603";1;"10uF";;;
8;"C8,C9";"C_0402";2;"10pF";;;
9;"CONN2,CONN3";"_Molex-PicoBlade-SMD-4";2;"CAN";;;
10;"R1,R9,R2";"R_0402";3;"47k";;;
11;"R3,R4";"R_0402";2;"4.7k";;;
12;"U1";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"STM32F302K8U6";;;
13;"U2";"DFN-8-1EP_3x3mm_Pitch0.5mm";1;"LTC2875IDD#PBF";;;
14;"X1";"_TSX-3225-SMD-XTAL";1;"16MHz";;;
15;"G***";"CVRA-logo-small";1;"LOGO";;;
16;"D2";"R_0603";1;"LTST-S270KGKT";;;
17;"D3";"R_0603";1;"LTST-S270KRKT";;;
18;"Q1";"SOT-23";1;"BSS138";;;
19;"U5";"DFN-6-_2x2.4x0.65mm_P0.65mm";1;"TCS3472X";;;
20;"U4";"VL6180X";1;"VL6180X";;;
21;"CONN1";"_Pin2mm_7z";1;"SWD/DEBUG";;;
22;"U3";"SOT-89-3";1;"MCP1703-MB";;;
