Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1,0.1uF,0805-NO,1, ,
2,,CAP_CERAMIC0805-NOOUTLINE,C2 C3,10uF,0805-NO,2, ,
3,,HEADER-1X570MIL,JP1,HEADER-1X570MIL,1X05_ROUND_70,1, ,
4,,MOSFET-NWIDE,Q1 Q2,BSS138,SOT23-WIDE,2, ,
5,,RESISTOR0805_NOOUTLINE,R1 R2 R3 R4,10K,0805-NO,4, ,
6,,HTU21DF,U1,HTU21DF,HTU21DF,1, ,
7,,VREG_SOT23-5,U2,MIC5225-3.3,SOT23-5,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,12 (0 SMD/ 0 THT)
Fitted Components:,12 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,12
